credit_card_id,customer_id,card_number,card_expiry_date,bank_name
C039,39,5871-1197-3359-3272,2024-02-14,Heritage Bank
C040,40,3192-9042-3854-6413,2024-02-15,Standered Chartered
C041,41,4484-6884-1430-4689,2024-02-16,Heritage Bank
C042,42,7332-2212-7982-9073,2024-02-17,United Bank of Africa
C043,43,6511-3454-1577-5559,2024-02-18,Unity Bank
C044,44,1179-5380-4998-0141,2024-02-19,Diamond Bank
C045,45,2267-0388-0348-8016,2024-02-20,WEMA Bank
C046,46,8076-3333-4527-2945,2024-02-21,WEMA Bank
C047,47,2200-5143-2816-4573,2024-02-22,Union Bank
C048,48,9101-3961-2122-9868,2024-02-23,Standered Chartered
C049,49,3770-6639-2106-1719,2024-02-24,First City Monument Bank
C050,50,1789-6771-2517-7098,2024-02-25,Zenith Bank
C051,51,7700-3306-7060-8233,2024-02-26,Sterling Bank
C052,52,1853-8983-8483-3360,2024-02-27,Fidelity Bank
C053,53,2415-3314-7331-7705,2024-02-28,United Bank of Africa
C054,54,8146-8688-2789-9528,2024-02-29,Diamond Bank
C055,55,6951-7298-2798-7922,2024-03-01,Polaris Bank
C056,56,7973-4051-3217-7579,2024-03-02,Stanbic IBTC Bank
C057,57,9861-1782-5508-4322,2024-03-03,United Bank of Africa
C058,58,3163-4821-8459-8952,2024-03-04,Standered Chartered
C059,59,8057-6550-6158-4492,2024-03-05,Unity Bank
C060,60,2202-6038-7659-4962,2024-03-06,Stanbic IBTC Bank
C061,61,9508-8235-1786-2650,2024-03-07,Stanbic IBTC Bank
C062,62,9703-6755-4717-8376,2024-03-08,Standered Chartered
C063,63,6781-9652-2639-5848,2024-03-09,Keystone Bank
C064,64,2815-2586-3771-4537,2024-03-10,Stanbic IBTC Bank
C065,65,5861-3310-3668-2014,2024-03-11,Zenith Bank
C066,66,2726-4435-2480-4544,2024-03-12,Sterling Bank
C067,67,8684-2406-7111-6677,2024-03-13,Eco Bank
C068,68,1910-8449-2234-9696,2024-03-14,Zenith Bank
C069,69,6407-8915-7279-6823,2024-03-15,Diamond Bank
C070,70,4377-1730-5794-6953,2024-03-16,Stanbic IBTC Bank
C071,71,4457-7794-2883-9811,2024-03-17,Polaris Bank
C072,72,7190-9721-2516-3091,2024-03-18,Polaris Bank
C073,73,3021-3469-1584-8245,2024-03-19,Sterling Bank
C074,74,5983-6415-1841-6927,2024-03-20,Sterling Bank
C075,75,7218-6595-4501-6059,2024-03-21,Unity Bank
C076,76,6735-7641-2748-4636,2024-03-22,Keystone Bank
C077,77,2337-3044-6383-9549,2024-03-23,United Bank of Africa
C078,78,4329-1620-2664-2667,2024-03-24,Fidelity Bank
C079,79,5241-7951-9940-6108,2024-03-25,Heritage Bank
C080,80,7116-6687-5770-2304,2024-03-26,Unity Bank
C081,81,5735-3310-5155-9475,2024-03-27,Zenith Bank
C082,82,8529-6753-4944-4579,2024-03-28,Standered Chartered
C083,83,9003-8050-7509-2563,2024-03-29,Eco Bank
C084,84,8180-4983-3602-4524,2024-03-30,Union Bank
C085,85,4536-3696-1765-7323,2024-03-31,United Bank of Africa
C086,86,9430-6016-7974-4118,2024-04-01,WEMA Bank
C087,87,2747-2230-3915-8305,2024-04-02,Standered Chartered
C088,88,8040-6453-8614-3818,2024-04-03,Access Bank
C089,89,3296-2433-5998-3380,2024-04-04,Access Bank
C090,90,8782-9904-1756-9964,2024-04-05,Zenith Bank
C091,91,5436-7291-6886-9889,2024-04-06,Keystone Bank
C092,92,1946-1787-5973-3333,2024-04-07,Polaris Bank
C093,93,4577-3225-7642-4279,2024-04-08,Diamond Bank
C094,94,4388-9432-8426-3134,2024-04-09,Unity Bank
C095,95,7615-5767-6080-3312,2024-04-10,First City Monument Bank
C096,96,3694-6007-2148-7651,2024-04-11,Sterling Bank
C097,97,6539-8490-1993-9567,2024-04-12,Zenith Bank
C098,98,8127-9204-1877-3920,2024-04-13,Diamond Bank
C099,99,7216-9174-9885-9305,2024-04-14,WEMA Bank
C100,100,8553-5491-2876-8771,2024-04-15,Eco Bank
C101,101,3183-6673-5875-4392,2024-04-16,Unity Bank
C102,102,4874-7396-7297-9814,2024-04-17,Union Bank
C103,103,9507-7878-7615-8809,2024-04-18,Polaris Bank
C104,104,7769-4918-3377-4037,2024-04-19,Sterling Bank
C105,105,3547-3996-6003-7388,2024-04-20,Union Bank
C106,106,4489-9710-7242-7699,2024-04-21,Eco Bank
C107,107,6907-8824-3506-5984,2024-04-22,GT Bank
C108,108,9505-5550-4635-4735,2024-04-23,Zenith Bank
C109,109,4340-4491-7082-4057,2024-04-24,Zenith Bank
C110,110,3630-5157-8248-7992,2024-04-25,Polaris Bank
C111,111,9397-3315-7689-6139,2024-04-26,WEMA Bank
C112,112,8642-3424-5212-7902,2024-04-27,Union Bank
C113,113,8631-7319-4445-6715,2024-04-28,United Bank of Africa
C114,114,8599-5713-4579-7562,2024-04-29,Keystone Bank
C115,115,8403-4599-6584-3535,2024-04-30,WEMA Bank
C116,116,8824-7586-3585-5426,2024-05-01,Stanbic IBTC Bank
C117,117,7207-8892-6642-7509,2024-05-02,Keystone Bank
C118,118,8142-6185-9239-4789,2024-05-03,Keystone Bank
C119,119,4826-7095-4295-4989,2024-05-04,Diamond Bank
C120,120,7276-5352-6705-6793,2024-05-05,Heritage Bank
C121,121,4283-9286-8126-4077,2024-05-06,Polaris Bank
C122,122,6033-7476-3965-6977,2024-05-07,Access Bank
C123,123,8354-9413-9171-9700,2024-05-08,Sterling Bank
C124,124,5352-6331-4842-5914,2024-05-09,Eco Bank
C125,125,6670-9284-7609-8687,2024-05-10,GT Bank
C126,126,5632-8577-6155-4748,2024-05-11,Diamond Bank
C127,127,9093-3402-4482-5666,2024-05-12,Standered Chartered
C128,128,4287-6719-9031-7596,2024-05-13,Eco Bank
C129,129,5712-6207-4551-8225,2024-05-14,Access Bank
C130,130,4788-8845-9941-4590,2024-05-15,United Bank of Africa
C131,131,4807-3702-3405-5401,2024-05-16,Heritage Bank
C132,132,3986-3536-5620-4640,2024-05-17,Zenith Bank
C133,133,5798-5272-3167-5913,2024-05-18,Sterling Bank
C134,134,8686-5217-7079-6119,2024-05-19,Polaris Bank
C135,135,6171-5181-5787-3283,2024-05-20,Polaris Bank
C136,136,8302-3810-9674-6645,2024-05-21,Keystone Bank
C137,137,8373-9665-8889-7305,2024-05-22,Unity Bank
C138,138,7342-4893-4568-9848,2024-05-23,Zenith Bank
C139,139,7701-5983-5803-5031,2024-05-24,Unity Bank
C140,140,9078-5141-4458-5572,2024-05-25,Sterling Bank
C141,141,6362-3579-5108-9603,2024-05-26,United Bank of Africa
C142,142,8201-5733-4391-5898,2024-05-27,Heritage Bank
C143,143,6815-6415-9288-5998,2024-05-28,Access Bank
C144,144,7931-4346-4377-8440,2024-05-29,Standered Chartered
C145,145,7889-5085-6884-3340,2024-05-30,Union Bank
C146,146,3194-6653-4453-3393,2024-05-31,Access Bank
C147,147,8757-5005-7886-7754,2024-06-01,Zenith Bank
C148,148,7373-4412-7292-7186,2024-06-02,Fidelity Bank
C149,149,8050-3282-4136-8214,2024-06-03,Stanbic IBTC Bank
C150,150,8089-5912-5969-8880,2024-06-04,Polaris Bank
C151,151,7872-9500-9369-7008,2024-06-05,Eco Bank
C152,152,9752-3724-8040-4969,2024-06-06,Zenith Bank
C153,153,6702-6911-8968-3850,2024-06-07,Union Bank
C154,154,9926-5216-7470-7057,2024-06-08,Diamond Bank
C155,155,8090-6992-4398-6935,2024-06-09,Union Bank
C156,156,9119-5157-4969-9006,2024-06-10,Access Bank
C157,157,5361-7332-4966-7960,2024-06-11,First City Monument Bank
C158,158,6913-8469-8486-5675,2024-06-12,United Bank of Africa
C159,159,6660-5417-9425-7126,2024-06-13,Zenith Bank
C160,160,9123-5833-8239-9654,2024-06-14,Access Bank
C161,161,3392-5400-6861-9076,2024-06-15,Zenith Bank
C162,162,7377-9306-8605-6543,2024-06-16,Union Bank
C163,163,7612-9092-3514-8648,2024-06-17,Standered Chartered
C164,164,9684-6495-8279-7959,2024-06-18,Zenith Bank
C165,165,8623-5145-4086-3964,2024-06-19,WEMA Bank
C166,166,8192-8297-9435-6640,2024-06-20,Zenith Bank
C167,167,4578-3723-3785-6866,2024-06-21,Keystone Bank
C168,168,5998-7212-9290-9705,2024-06-22,First City Monument Bank
C169,169,4626-8034-5748-7092,2024-06-23,Sterling Bank
C170,170,6894-4547-4573-3524,2024-06-24,GT Bank
C171,171,3770-9267-8331-6510,2024-06-25,Unity Bank
C172,172,9072-7334-7091-6138,2024-06-26,WEMA Bank
C173,173,4439-7871-6434-5317,2024-06-27,Keystone Bank
C174,174,9095-3993-8205-6474,2024-06-28,United Bank of Africa
C175,175,6688-4335-4335-8803,2024-06-29,Stanbic IBTC Bank
C176,176,8274-7310-8319-9136,2024-06-30,Eco Bank
C177,177,7072-3244-5671-4371,2024-07-01,Keystone Bank
C178,178,7016-3160-8366-8301,2024-07-02,Access Bank
C179,179,7027-6952-9846-3486,2024-07-03,Access Bank
C180,180,5008-8918-6601-5222,2024-07-04,Polaris Bank
C181,181,9386-7565-8251-3687,2024-07-05,Fidelity Bank
C182,182,5750-4012-9126-5754,2024-07-06,GT Bank
C183,183,8936-6816-9636-4508,2024-07-07,First Bank of Nigeria
C184,184,9444-5433-7326-5293,2024-07-08,WEMA Bank
C185,185,6889-5407-6624-9746,2024-07-09,Unity Bank
C186,186,9084-3320-8144-4131,2024-07-10,Keystone Bank
C187,187,3430-7816-8246-7429,2024-07-11,Unity Bank
C188,188,4791-8938-7936-4985,2024-07-12,Keystone Bank
C189,189,5357-7587-9255-9781,2024-07-13,Access Bank
C190,190,4480-4258-4230-4172,2024-07-14,First Bank of Nigeria
C191,191,8681-4597-5673-3403,2024-07-15,WEMA Bank
C192,192,4264-9366-8153-8892,2024-07-16,Access Bank
C193,193,7880-7173-9662-7894,2024-07-17,Standered Chartered
C194,194,5177-5293-8152-7054,2024-07-18,Keystone Bank
C195,195,5163-7581-9490-7333,2024-07-19,Eco Bank
C196,196,9723-4125-6600-7275,2024-07-20,First Bank of Nigeria
C197,197,6907-8749-7893-6593,2024-07-21,First City Monument Bank
C198,198,6127-8248-4758-5727,2024-07-22,Diamond Bank
C199,199,4312-4579-9156-5490,2024-07-23,Union Bank
C200,200,6786-9816-8951-5380,2024-07-24,United Bank of Africa
